,source,target,weight
0,0,0,0.0
1,0,1,14.0
2,0,2,0.0
3,0,3,7.0
4,0,4,6.0
5,0,5,159.0
6,0,6,20.0
7,0,7,7.0
8,1,0,14.0
9,1,1,0.0
10,1,2,1.0
11,1,3,371.0
12,1,4,0.0
13,1,5,83.0
14,1,6,9.0
15,1,7,0.0
16,2,0,0.0
17,2,1,1.0
18,2,2,0.0
19,2,3,2.0
20,2,4,0.0
21,2,5,21.0
22,2,6,0.0
23,2,7,0.0
24,3,0,7.0
25,3,1,371.0
26,3,2,2.0
27,3,3,0.0
28,3,4,3.0
29,3,5,174.0
30,3,6,27.0
31,3,7,0.0
32,4,0,6.0
33,4,1,0.0
34,4,2,0.0
35,4,3,3.0
36,4,4,0.0
37,4,5,42.0
38,4,6,6.0
39,4,7,5.0
40,5,0,159.0
41,5,1,83.0
42,5,2,21.0
43,5,3,174.0
44,5,4,42.0
45,5,5,0.0
46,5,6,56.0
47,5,7,23.0
48,6,0,20.0
49,6,1,9.0
50,6,2,0.0
51,6,3,27.0
52,6,4,6.0
53,6,5,56.0
54,6,6,0.0
55,6,7,19.0
56,7,0,7.0
57,7,1,0.0
58,7,2,0.0
59,7,3,0.0
60,7,4,5.0
61,7,5,23.0
62,7,6,19.0
63,7,7,0.0
